CUSTOMER_ID,CUSTOMER_NAME,CUSTOMER_EMAIL,ORDER_ID,PRODUCT_DESC,PRODUCT_QUANTITY,SUBTOTAL
1,"Jennifer Wilson",jen_w@gmail.com,10050,"Cricket Set for Boys",1,4500.00
1,"Jennifer Wilson",jen_w@gmail.com,10050,"Sams 21L Microwave Oven",1,6880.00
1,"Jennifer Wilson",jen_w@gmail.com,10050,"HP ODC School Bag 2.5'",2,1598.00
1,"Jennifer Wilson",jen_w@gmail.com,10011,"OnePlus 6 Smart Phone",1,32500.00
1,"Jennifer Wilson",jen_w@gmail.com,10011,"Samsung Galaxy On6",2,28000.00
1,"Jennifer Wilson",jen_w@gmail.com,10011,"KitchAsst Siphon Coffee Maker 500 ml",1,1790.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Sky LED 102 CM TV",1,35000.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Infant Sleepwear Blue",3,750.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Samsung Galaxy On6",1,14000.00
1,"Jennifer Wilson",jen_w@gmail.com,10001,"Foldable Premium Chair",1,4000.00
2,"Jackson Davis",dave_jack@gmail.com,10037,"Kasyo DJ-2100 Desktop Calculator",1,338.00
2,"Jackson Davis",dave_jack@gmail.com,10037,"GreenWud Nova Pedestal Unit",1,2500.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Sky LED 102 CM TV",1,35000.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Cricket Set for Boys",2,9000.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Remote Control Car",2,5800.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Blossoms Lehenga Choli set",3,9000.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Shell Fingertip Ball Pen",10,250.00
2,"Jackson Davis",dave_jack@gmail.com,10012,"Ruf-n-Tuf Black PU Leather Belt",5,1750.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Barbie Fab Gown Doll",2,2000.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Doll House",2,6000.00
2,"Jackson Davis",dave_jack@gmail.com,10002,"Samsung Galaxy On6",1,14000.00
